name,odimdp_abstraction_time,odimdp_certification_time,odimdp_prob_mem,imdp_abstraction_time,imdp_certification_time,imdp_prob_mem,impact_abstraction_time,impact_certification_time,impact_prob_mem
dubins_car_gp_dkl,13.816391051,19.562185384,352.154572,336.939932236,31.333016697,14265.759024,NaN,NaN,NaN
bas4d,0.022830748,0.236708123,2.897432,7.272964141,0.285433708,105.059676,17.564,0.318,96.04
linear_stochastically_switched,0.032828195,0.044778203,4.548652,3.391326286,0.037905204,41.030696,NaN,NaN,NaN
robot_2d_reachability,0.665322997,0.167951465,21.634552,12.658474978,0.129106395,88.037472,20.610999999999997,0.765,306.66262
nndm_cartpole,236.153906345,550.746775401,611.442908,42326.40032401,3.751213305,1590.918472,NaN,NaN,NaN
linear6d,8.95941323,359.886500098,237.271508,NaN,NaN,NaN,NaN,NaN,NaN
linear7d,66.231402125,13903.539578807,2329.968132,NaN,NaN,NaN,NaN,NaN,NaN
car_parking,0.149941417,0.145592169,19.246956,13.497034055,0.255441505,138.146144,19.57,0.846,304.9382
van_der_pol,1.657714189,0.257011654,45.514968,27.254826316,0.827186841,353.560384,113.235,3.233,1093.4004
robot_2d_reachavoid,14.258586276,7.641159639,547.205636,1136.720090898,6.73937253,4143.789152,918.856,37.526,16387.981
